links,content,question_title,product_context
https://www.gojek.com/en-id/help/gofoodweb/Bisakah-saya-mengubah-alamat-pengantaran,"Once the restaurant confirms your order, you cannot make any changes, including editing the destination address.  Once the restaurant confirms your order, you cannot make any changes, including editing the destination address.  However, if the new address is not too far away, you can try to contact the driver first, and ask if the driver is willing to accommodate the change. However, if the new address is not too far away, you can try to contact the driver first, and ask if the driver is willing to accommodate the change. What if I want to cancel the order? What if I want to cancel the order? What if I want to cancel the order? Please visit this article for further assistance. Please visit  this article this article this article this article  for further assistance.",Can I change my delivery address?,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/cara-menghubungi-driver-untuk-pesanan-gofood-melalui-website,"Once a driver has been assigned to pick up your order, you follow these steps to contact him via chat or phone call: Once a driver has been assigned to pick up your order, you follow these steps to contact him via chat or phone call: via chat or phone call   If you choose to contact the driver via phone call, the system will display the driver's contact number which has been masked*. You can contact the driver by copying the masked number and calling him. If you choose to contact the driver via phone call, the system will display the driver's contact number which has been masked*. You can contact the driver by copying the masked number and calling him. *) Make sure you call the driver from the telephone number you use to sign in to https://gofood.co.id  *) Make sure you call the driver from the telephone number you use to sign in to *) Make sure you call the driver from the telephone number you use to sign in to *) Make sure you call the driver from the telephone number you use to sign in to  https://gofood.co.id        https://gofood.co.id  https://gofood.co.id  https://gofood.co.id  https://gofood.co.id    ",How to contact my driver for GoFood Orders via website,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/saya-ingin-membatalkan-pesanan,"We regret if you want to cancel your order. Please note that upon receiving your order, the restaurant will prepare it immediately. Therefore canceling orders is not recommended in order to avoid any losses experienced by restaurants and drivers. However, if you still want to cancel it, you must submit a cancellation request through the Gojek application. Please follow these steps: Open the Gojek application, then select OrdersGo to the Ongoing orders tab, then select the order you want to cancelSelect the option I have to cancel my orderPlease select one of the following cancellation reasons:Driver asked me to cancelDriver said the restaurant was closed / not foundFood or beverages I ordered is out of stockDriver can’t be contactedDriver made me wait too longReason is not listed, I need to cancelChoose the article that best suits your condition, then follow the instructions. Open the Gojek application, then select Orders Orders Go to the Ongoing orders tab, then select the order you want to cancel Ongoing Select the option I have to cancel my order I have to cancel my order Please select one of the following cancellation reasons: Driver asked me to cancelDriver said the restaurant was closed / not foundFood or beverages I ordered is out of stockDriver can’t be contactedDriver made me wait too longReason is not listed, I need to cancel Driver asked me to cancel Driver said the restaurant was closed / not found Food or beverages I ordered is out of stock Driver can’t be contacted Driver made me wait too long Reason is not listed, I need to cancel Choose the article that best suits your condition, then follow the instructions. We will try our best to check the cancellation request that you submitted, and inform you again regarding the status of your order. We hope this information helps you.",I want to cancel my order,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/cara-memesan-gofood-melalui-website,"Good news for GoFood users in Jabodetabek! Now you can order food from your favorite restaurant via website, either using mobile, tablet or PC device. Here's how:   Login Login Before ordering, you must first log in to your Gojek account by following these steps: Open https://gofood.co.id from your browser, then click the Login button in the upper right corner of the page. Open https://gofood.co.id from your browser, then click the Login button in the upper right corner of the page. https://gofood.co.id  https://gofood.co.id    (example of the display of the homepage of the https://gofood.co.id page accessed via a tablet device) (example of the display of the homepage of the https://gofood.co.id page accessed via a tablet device) https://gofood.co.id https://gofood.co.id Enter the phone number registered with your Gojek account, then follow the login process by entering the 4 (four) digit OTP* code sent via SMS to your number. Enter the phone number registered with your Gojek account, then follow the login process by entering the 4 (four) digit OTP* code sent via SMS to your number. by entering the 4 (four) digit OTP* *OTP can only be sent via SMS to the number registered to your Gojek account. *OTP can only be sent via SMS to the number registered to your Gojek account. How to order GoFood through the website How to order GoFood through the website If you have successfully logged into your account, please follow these steps to order GoFood: Start by entering your location and then clicking the Explore button Start by entering your location and then clicking the Explore button Explore button   After entering the location, the website page will show you a list of restaurants nearbyYou can also utilize search feature on GoFood web by clicking the following button: After entering the location, the website page will show you a list of restaurants nearby You can also utilize search feature on GoFood web by clicking the following button:   Type your favorite restaurant / menu, then choose one from the search resultsSelect the menu you want to order on the restaurant's profile pageEvery menu you pick will be added to your Cart. To access your Cart, click on the Basket icon in the upper right corner, to the right of your profile photo. Type your favorite restaurant / menu, then choose one from the search results Select the menu you want to order on the restaurant's profile page Every menu you pick will be added to your Cart. To access your Cart, click on the Basket icon in the upper right corner, to the right of your profile photo. Cart.  Cart,   On the Cart menu, you can add or reduce quantity and provide specific notes to the restaurant for each menu you order. On the Cart menu, you can add or reduce quantity and provide specific notes to the restaurant for each menu you order.   Click the Continue to checkout button on the bottom of Cart menu to proceed your orderOn the order checkout page, enter the delivery address details. You can also change the delivery point by clicking the Edit map button Click the Continue to checkout button on the bottom of Cart menu to proceed your order Continue to checkout On the order checkout page, enter the delivery address details. You can also change the delivery point by clicking the Edit map button Edit map   On the checkout page, you can also use the available promos by clicking Use on the voucher you want. Then click Order to continue. On the checkout page, you can also use the available promos by clicking Use on the voucher you want. Then click Order to continue. Use Order to continue.    For the initial stage, only a few types of promos are available for GoFood web ordering For the initial stage, only a few types of promos are available for GoFood web ordering Before you send the order to the restaurant, you are required to check all the details once again, such as: delivery address, order summary, promo used, and price details.If you are sure of all the details, click Order to confirm your order. Before you send the order to the restaurant, you are required to check all the details once again, such as: delivery address, order summary, promo used, and price details. If you are sure of all the details, click Order to confirm your order. Order    Congratulations! Your order has been sent to the restaurant. Once confirmed, the restaurant will immediately prepare your order.You can monitor the progress of your order with the following display: Congratulations! Your order has been sent to the restaurant. Once confirmed, the restaurant will immediately prepare your order. You can monitor the progress of your order with the following display:   You can also monitor all your ongoing orders by clicking on your profile photo, then select the Ongoing Orders.  You can also monitor all your ongoing orders by clicking on your profile photo, then select the Ongoing Orders.  Ongoing Orders.     Notes: Notes: For security reasons, the system will automatically log out your account from the https://gofood.co.id page after 24 hours. You have to re-login if you want to use GoFood services through the website.You can make up to four orders at once (including orders made through the application)Before forwarding the order to the restaurant, make sure all the details are correct, because you cannot cancel it once the restaurant has confirmed it. For now, GoFood orders through the website can only use the GoPay payment method. Make sure you have sufficient GoPay balance before confirming the order.Every order that you make through the website can also be monitored in the Gojek application by clicking Orders → Active orders. For security reasons, the system will automatically log out your account from the https://gofood.co.id page after 24 hours. You have to re-login if you want to use GoFood services through the website. For security reasons, the system will automatically log out your account from the https://gofood.co.id page after 24 hours. You have to re-login if you want to use GoFood services through the website. https://gofood.co.id You can make up to four orders at once (including orders made through the application) You can make up to four orders at once (including orders made through the application) Before forwarding the order to the restaurant, make sure all the details are correct, because you cannot cancel it once the restaurant has confirmed it.  Before forwarding the order to the restaurant, make sure all the details are correct, because you cannot cancel it once the restaurant has confirmed it.  For now, GoFood orders through the website can only use the GoPay payment method. Make sure you have sufficient GoPay balance before confirming the order. For now, GoFood orders through the website can only use the GoPay payment method. Make sure you have sufficient GoPay balance before confirming the order. Every order that you make through the website can also be monitored in the Gojek application by clicking Orders → Active orders. Every order that you make through the website can also be monitored in the Gojek application by clicking Orders → Active orders. Orders → Active orders.",How to order GoFood via webpage,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/kapan-pesanan-akan-dikonfirmasi-restoran,"Usually, the restaurant will confirm your order within 3 minutes. But sometimes it can be longer due to the high demand or busy hours at the restaurant. You can wait for a while until your order is confirmed. Usually, the restaurant will confirm your order within 3 minutes. But sometimes it can be longer due to the high demand or busy hours at the restaurant. You can wait for a while until your order is confirmed. However, if after 3 minutes the restaurant failed to confirm your order, then it will be canceled by the system automatically. You can order again at a different restaurant or what a while if you want to order at the same restaurant. However, if after 3 minutes the restaurant failed to confirm your order, then it will be canceled by the system automatically. You can order again at a different restaurant or what a while if you want to order at the same restaurant.",When will the restaurant confirm my order?,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/status-pesanan-gofood-tidak-berubah,"This condition can happen due to the following reasons: This condition can happen due to the following reasons: The restaurant and the driver's reception or internet connection is currently unstable, so the order status isn't updatedThe restaurant has many orders, so it takes more time to prepare yoursWe're still looking for a driver for you, as the availability is currently limited The restaurant and the driver's reception or internet connection is currently unstable, so the order status isn't updated The restaurant and the driver's reception or internet connection is currently unstable, so the order status isn't updated The restaurant has many orders, so it takes more time to prepare yours The restaurant has many orders, so it takes more time to prepare yours We're still looking for a driver for you, as the availability is currently limited We're still looking for a driver for you, as the availability is currently limited If you already have a driver, you can contact him directly to find out the status of your order. Read more information on how to contact your driver here.  If you already have a driver, you can contact him directly to find out the status of your order. Read more information on how to contact your driver here.  here.  here",GoFood order status hasn't changed,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/kapan-saya-akan-mendapatkan-driver,"We always try our best to find you a driver shortly, so that you can receive your order as soon as possible. We always try our best to find you a driver shortly, so that you can receive your order as soon as possible. Therefore, we adjust the driver search process to the restaurant order preparation time. When the order is almost ready, the driver will be assigned immediately. So, don't worry, just let the restaurant prepare your order and wait for the driver to arrive at your front door :) Therefore,  we adjust the driver search process to the restaurant order preparation time.  When the order is almost ready, the driver will be assigned immediately. So, don't worry, just let the restaurant prepare your order and wait for the driver to arrive at your front door :) However, the order will be automatically canceled if there is no driver around the restaurant due to several factors, including weather and road conditions. However, the order will be automatically canceled if there is no driver around the restaurant due to several factors, including weather and road conditions. How do I see the driver search estimation? How do I see the driver search estimation? You can check on the ongoing order page on your Gojek app. The approximate time of driver searching is in the green box: You can check on the ongoing order page on your Gojek app. The approximate time of driver searching is in the green box:    Hope this information helps you.  Hope this information helps you.  *Driver search estimation time is currently unavailable on https://gofood.co.id  *Driver search estimation time is currently unavailable on https://gofood.co.id  *Driver search estimation time is currently unavailable on https://gofood.co.id  https://gofood.co.id ",When will I get a driver?,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/cara-masuk-ke-akun-gojek,"Login to your Gojek account by following these easy steps: 1. Login with OTP code/Login link: 1. Login with OTP code/Login link: Click Log in on the Gojek app and enter your registered phone number (ensure the country code is correct).You will be direct to OTP sent page. Select via SMS or WhatsApp* to send the OTP > click “Send OTP”. *)Please ensure your phone number has Whatsapp.To get OTP please ensure your internet connection or signal is suitable for receiving the OTP. Please don't share your OTP or login link with anyone, including Gojek. Click Log in on the Gojek app and enter your registered phone number (ensure the country code is correct). Log in You will be direct to OTP sent page. Select via SMS or WhatsApp* to send the OTP > click “Send OTP”. *)Please ensure your phone number has Whatsapp. Send OTP”  To get OTP please ensure your internet connection or signal is suitable for receiving the OTP. Please don't share your OTP or login link with anyone, including Gojek. Please don't share your OTP or login link with anyone, including Gojek.     Enter the 4 (four) digits, then click 'Continue.'If you received an SMS containing login link, you only need to click the link to continue the login process. Enter the 4 (four) digits, then click 'Continue.' Enter   'Continue.' If you received an SMS containing login link, you only need to click the link to continue the login process.  login link click the link     (example of login link) (example of login link) (example of login link)   If you receive a login link on a different device, then you can: Move the SIM card with the registered phone number on your Gojek account to your main device;Update your registered number in the Gojek account with the number on your main device; orForward the SMS that you received to the number on your main device. Never forward the SMS to a number that is not yours. Always be careful of fraud. Gojek never asks for your personal data, including an SMS containing the OTP code/login link. Move the SIM card with the registered phone number on your Gojek account to your main device; Update your registered number in the Gojek account with the number on your main device; or Forward the SMS that you received to the number on your main device. Never forward the SMS to a number that is not yours. Always be careful of fraud. Gojek never asks for your personal data, including an SMS containing the OTP code/login link.  Never forward the SMS to a number that is not yours If you haven't already done so, don't forget to immediately verify your email and set a GoPay PIN for the security of your Gojek account. don't forget to immediately verify your email and set a GoPay PIN 2. Login with One Tap login feature 2. Login with One Tap login feature With this feature, you can log in to your Gojek account without verification as long as your phone is a device marked by Gojek as a trusted device. Click here to see how to use it. 3. Login with Fingerprint/Face ID feature 3. Login with Fingerprint/Face ID feature If you have activated the Fingerprint/Face ID feature, here’s what you will see:   Read more about how to login with Fingerprint/Face ID feature HERE. Read more about how to login with Fingerprint/Face ID feature  HERE HERE . 4. Login with silent login method or missed call login 4. Login with silent login method or missed call login If you see one of the following screens after entering your phone number, the system will automatically verify your SIM card. You only need to wait, and if the verification is successful, you will automatically log into your Gojek account.    What if my phone number is lost/inactive and makes me can't log in to my Gojek account? What if my phone number is lost/inactive and makes me can't log in to my Gojek account? What if my phone number is lost/inactive and makes me can't log in to my Gojek account? If you can't log in to your Gojek account because your registered phone number is lost/inactive, you can follow the steps below. can't log in to your Gojek account because your registered phone number is lost/inactive,  follow the steps  below. How to recover an account:  How to recover an account: 1. Log in to your Gojek account by clicking 'Login' 'Login' 2. Click 'I've changed my number?' 'I've changed my number?'   3. You will be directed to a page where you can recover your account by filling in your old phone number first. Then a verification code will be sent to your email registered with Gojek recover your account   filling in your old phone number first. Then a verification code will be sent to your email registered with Gojek 4. Enter the verification code, then enter the new number you want to use as a replacement for your old lost/inactive number  enter the new number you want to use  5. You will receive a verification code via SMS to the new number. Enter the code, then click ‘Continue’  ‘Continue’ 6. All done! You have successfully changed your old number to a new number that is currently active!",How to log in to Gojek account,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/cara-memberikan-penilaian-dan-tip-ke-driver,"Giving star(s) to the driver to rate their service can be done after the order is completed. But, giving a tip to the driver can be done when:  The order is still ongoingIf you want to tip the driver while the order is ongoing, please go to Orders → Ongoing, then give a tip to the driver by pressing the 'Give a tip' button below the driver's profile information. The order is still ongoing  Orders → Ongoing 'Give a tip' The order is already completedOnce the order is already completed, you can tip the driver by go to Orders → History, then select the order you want. The order is already completed  After choosing the order, you can rate the driver by giving a star(s). You also can give a tip* to the driver. *The nominal tip that you can give depends on your GoPay balance. *The nominal tip that you can give depends on your GoPay balance.   Moreover, you can give a reason and comment related to the driver's service, then click ‘Done’ ‘Done’   If you want to tip the driver   after submitting your rating, please follow below steps: Select the order number on the 'History' pageClick 'Help'>Payment issue > I want to give tip to the driver Select the order number on the 'History' page 'History' Click 'Help'>Payment issue > I want to give tip to the driver 'Help'>Payment issue > I want to give tip to the driver Can I give ratings and tips to drivers from the GoFood website? Can I give ratings and tips to drivers from the GoFood website? For now, giving tips and ratings to drivers can only be done through the application. Please open your GoFood transaction history in the Gojek application, then enter the rating and tip that you want to give to the driver. Notes: Notes: The rating and tip that you have submitted cannot be revisedYou can only tip the driver if you make a payment using GoPay and you have enough GoPay balance to do soThe tip that you gave will be 100% received by the driver after the order is completed. The rating and tip that you have submitted cannot be revised cannot be revised You can only tip the driver if you make a payment using GoPay and you have enough GoPay balance to do so The tip that you gave will be 100% received by the driver after the order is completed.",How to give rating and tip to driver,gofoodweb
https://www.gojek.com/en-id/help/gofoodweb/driver-saya-meminta-pembayaran-lebih,"We are deeply sorry for the driver who insisted and asked for more payment from the total price stated on the app. total price Please keep in mind that the payment you should pay to the driver is the total price stated on your app with the payment method that you choose. However, if the driver asked for more payment for the parking fees and/or toll fees, you can see the terms below: the payment you should pay to the driver is the total price stated on your app with the payment method that you choose parking fees and/or toll fees terms  Parking fees and tolls prior to pickup is the driver’s responsibility, unless it’s previously agreed to be paid by the customer Parking fees and tolls prior to pickup is the driver’s responsibility, unless it’s previously agreed to be paid by the customer Parking fees and tolls after pickup are the responsibility of the customer, with prior agreement before entering the parking area and toll lane Parking fees and tolls after pickup are the responsibility of the customer, with prior agreement before entering the parking area and toll lane If you’re sure that the driver asked for money that is not in accordance with the terms above, please report it to us via Gojek Help page (under My Profile menu) by clicking the Contact Us* below this article. We will be glad to help.  If you’re sure that the driver asked for money that is not in accordance with the terms above, please report it to us via Gojek Help page (under My Profile menu) by clicking the Contact Us* below this article. We will be glad to help.  report Help  My Profile  Contact Us*  Please note..  Please note.. Please note.. We do not recommend you pay more including transfer money to anyone. Payments made outside of applicable regulations are not our responsibility. *Contact Us button only accessible when you open this page on your phone/tablet *Contact Us  * Contact Us  Contact Us  button only accessible when you open this page on your phone/tablet button only accessible when you open this page on your phone/tablet  ",Driver asked for more payment,gofoodweb
